22
0	1
0	4
0	18
1	0
1	2
1	4
1	5
1	6
1	8
1	10
1	11
1	12
1	13
1	16
1	21
2	1
2	4
2	13
3	5
3	7
3	11
3	12
3	13
4	0
4	1
4	2
4	3
4	5
4	6
4	7
4	9
4	10
4	11
4	12
4	13
5	1
5	2
5	3
5	4
5	6	
5	7
5	9
5	11
5	12
5	13
6	2
6	4
6	5
6	7
6	8
6	12
6	13
6	16
6	17
7	0
7	1
7	2
7	3
7	4
7	5
7	9
7	10
7	11
7	12
7	13
7	18
8	0
8	1
8	2
8	4
8	5
8	7
8	9
8	10
8	11
8	12
8	13
8	20
9	1
9	4
9	5
9	11
9	13
9	18
10	0
10	1
10	4
10	7
10	8
10	9
10	11
10	12
10	13
11	0
11	1
11	2
11	3
11	4
11	5
11	7
11	8
11	9
11	10
11	12
11	13
11	18
12	1
12	3
12	7
12	10
12	13
13	1
13	2
13	4
13	5
13	7
13	9
13	12
14	15
14	16
14	17
14	18
14	19
14	20
14	21
15	0
15	1
15	2
15	3
15	4
15	5
15	7
15	9
15	11
15	13
15	14
15	16
15	17
15	18
15	19
15	20
15	21
16	17
16	18
16	19
16	21
17	16
17	18
17	19
18	0
18	4
18	5
18	11
18	12
18	13
18	16
18	17
18	20
19	14
19	15
19	16
19	17
19	20
19	21
20	7
20	10
20	12
20	13
21	1
21	4
21	5
21	9
21	13
21	14
21	15
21	16
21	18
21
