1	2
1	3
1	4
1	5
1	7
1	8
1	9
1	10
1	12
1	13
1	14
1	15
1	18
1	21
2	1
2	4
2	5
2	7
2	8
2	9
2	11
2	12
2	14
2	15
2	17
2	19
2	21
3	1
3	4
3	9
3	14
4	1
4	2
4	3
4	5
4	6
4	8
4	9
4	12
4	14
4	15
4	17
4	18
4	19
4	21
4	24
5	1
5	2
5	4
5	7
5	8
5	9
5	11
5	12
5	14
5	15
5	21
5	24
6	4
6	14
7	1
7	2
7	5
7	8
7	9
7	12
7	13
7	15
7	20
7	21
8	1
8	2
8	4
8	5
8	7
8	9
8	11
8	14
8	15
8	21
9	1
9	2
9	3
9	4
9	5
9	7
9	8
9	11
9	14
9	15
9	17
9	21
9	22
9	24
10	1
11	2
11	5
11	8
11	9
11	15
12	1
12	2
12	4
12	5
12	7
12	13
12	15
13	1
13	7
13	12
13	15
14	1
14	2
14	3
14	4
14	5
14	6
14	8
14	9
14	15
14	17
14	21
15	1
15	2
15	4
15	5
15	7
15	8
15	9
15	11
15	12
15	13
15	14
15	17
15	21
15	22
15	24
15	25
16	21
17	2
17	4
17	9
17	14
17	15
18	1
18	4
19	2
19	4
20	7
21	1
21	2
21	4
21	5
21	7
21	8
21	9
21	14
21	15
21	16
21	22
21	24
21	25
22	9
22	15
22	21
22	24
23	24
24	4
24	5
24	9
24	15
24	21
24	22
24	23
24	25
25	15
25	21
25	24
